,Altitude,Latitude,Longitude,Ano,Mês,Máximos,Município/Posto,Bacia
0,735.0,-7.5118,-37.6366,1994.0,1.0,72.0,Agua Branca,Piancó
12,735.0,-7.5118,-37.6366,1995.0,1.0,102.0,Agua Branca,Piancó
24,735.0,-7.5118,-37.6366,1996.0,1.0,9.8,Agua Branca,Piancó
36,735.0,-7.5118,-37.6366,1997.0,1.0,44.0,Agua Branca,Piancó
48,735.0,-7.5118,-37.6366,1998.0,1.0,31.0,Agua Branca,Piancó
60,735.0,-7.5118,-37.6366,1999.0,1.0,64.0,Agua Branca,Piancó
72,735.0,-7.5118,-37.6366,2000.0,1.0,42.0,Agua Branca,Piancó
84,735.0,-7.5118,-37.6366,2001.0,1.0,6.2,Agua Branca,Piancó
96,735.0,-7.5118,-37.6366,2002.0,1.0,132.4,Agua Branca,Piancó
108,735.0,-7.5118,-37.6366,2003.0,1.0,43.4,Agua Branca,Piancó
120,735.0,-7.5118,-37.6366,2004.0,1.0,56.6,Agua Branca,Piancó
132,735.0,-7.5118,-37.6366,2005.0,1.0,60.6,Agua Branca,Piancó
144,735.0,-7.5118,-37.6366,2006.0,1.0,1.0,Agua Branca,Piancó
156,735.0,-7.5118,-37.6366,2007.0,1.0,21.0,Agua Branca,Piancó
168,735.0,-7.5118,-37.6366,2008.0,1.0,25.0,Agua Branca,Piancó
180,735.0,-7.5118,-37.6366,2009.0,1.0,37.0,Agua Branca,Piancó
192,735.0,-7.5118,-37.6366,2010.0,1.0,81.0,Agua Branca,Piancó
204,735.0,-7.5118,-37.6366,2011.0,1.0,39.0,Agua Branca,Piancó
216,735.0,-7.5118,-37.6366,2012.0,1.0,18.8,Agua Branca,Piancó
228,735.0,-7.5118,-37.6366,2013.0,1.0,14.2,Agua Branca,Piancó
240,735.0,-7.5118,-37.6366,2014.0,1.0,7.0,Agua Branca,Piancó
252,735.0,-7.5118,-37.6366,2015.0,1.0,47.0,Agua Branca,Piancó
264,735.0,-7.5118,-37.6366,2016.0,1.0,43.0,Agua Branca,Piancó
276,735.0,-7.5118,-37.6366,2017.0,1.0,19.2,Agua Branca,Piancó
288,735.0,-7.5118,-37.6366,2018.0,1.0,46.0,Agua Branca,Piancó
300,735.0,-7.5118,-37.6366,2019.0,1.0,8.0,Agua Branca,Piancó
312,735.0,-7.5118,-37.6366,2020.0,1.0,23.0,Agua Branca,Piancó
324,735.0,-7.5118,-37.6366,2021.0,1.0,9.0,Agua Branca,Piancó
336,735.0,-7.5118,-37.6366,2022.0,1.0,13.8,Agua Branca,Piancó
348,735.0,-7.5118,-37.6366,2023.0,1.0,15.0,Agua Branca,Piancó
360,735.0,-7.5118,-37.6366,2024.0,1.0,40.0,Agua Branca,Piancó
2,735.0,-7.5118,-37.6366,1994.0,3.0,70.0,Agua Branca,Piancó
14,735.0,-7.5118,-37.6366,1995.0,3.0,50.0,Agua Branca,Piancó
26,735.0,-7.5118,-37.6366,1996.0,3.0,58.8,Agua Branca,Piancó
38,735.0,-7.5118,-37.6366,1997.0,3.0,71.0,Agua Branca,Piancó
50,735.0,-7.5118,-37.6366,1998.0,3.0,36.4,Agua Branca,Piancó
62,735.0,-7.5118,-37.6366,1999.0,3.0,71.6,Agua Branca,Piancó
74,735.0,-7.5118,-37.6366,2000.0,3.0,39.4,Agua Branca,Piancó
86,735.0,-7.5118,-37.6366,2001.0,3.0,36.4,Agua Branca,Piancó
98,735.0,-7.5118,-37.6366,2002.0,3.0,54.2,Agua Branca,Piancó
110,735.0,-7.5118,-37.6366,2003.0,3.0,47.4,Agua Branca,Piancó
122,735.0,-7.5118,-37.6366,2004.0,3.0,34.4,Agua Branca,Piancó
134,735.0,-7.5118,-37.6366,2005.0,3.0,67.2,Agua Branca,Piancó
146,735.0,-7.5118,-37.6366,2006.0,3.0,80.0,Agua Branca,Piancó
158,735.0,-7.5118,-37.6366,2007.0,3.0,47.0,Agua Branca,Piancó
170,735.0,-7.5118,-37.6366,2008.0,3.0,62.6,Agua Branca,Piancó
182,735.0,-7.5118,-37.6366,2009.0,3.0,36.8,Agua Branca,Piancó
194,735.0,-7.5118,-37.6366,2010.0,3.0,26.0,Agua Branca,Piancó
206,735.0,-7.5118,-37.6366,2011.0,3.0,21.0,Agua Branca,Piancó
218,735.0,-7.5118,-37.6366,2012.0,3.0,5.4,Agua Branca,Piancó
230,735.0,-7.5118,-37.6366,2013.0,3.0,17.8,Agua Branca,Piancó
242,735.0,-7.5118,-37.6366,2014.0,3.0,27.0,Agua Branca,Piancó
254,735.0,-7.5118,-37.6366,2015.0,3.0,44.0,Agua Branca,Piancó
266,735.0,-7.5118,-37.6366,2016.0,3.0,75.2,Agua Branca,Piancó
278,735.0,-7.5118,-37.6366,2017.0,3.0,47.6,Agua Branca,Piancó
290,735.0,-7.5118,-37.6366,2018.0,3.0,57.4,Agua Branca,Piancó
302,735.0,-7.5118,-37.6366,2019.0,3.0,44.0,Agua Branca,Piancó
314,735.0,-7.5118,-37.6366,2020.0,3.0,47.0,Agua Branca,Piancó
326,735.0,-7.5118,-37.6366,2021.0,3.0,27.0,Agua Branca,Piancó
338,735.0,-7.5118,-37.6366,2022.0,3.0,82.0,Agua Branca,Piancó
350,735.0,-7.5118,-37.6366,2023.0,3.0,26.0,Agua Branca,Piancó
4,735.0,-7.5118,-37.6366,1994.0,5.0,56.0,Agua Branca,Piancó
16,735.0,-7.5118,-37.6366,1995.0,5.0,40.2,Agua Branca,Piancó
28,735.0,-7.5118,-37.6366,1996.0,5.0,93.0,Agua Branca,Piancó
40,735.0,-7.5118,-37.6366,1997.0,5.0,37.6,Agua Branca,Piancó
52,735.0,-7.5118,-37.6366,1998.0,5.0,3.2,Agua Branca,Piancó
64,735.0,-7.5118,-37.6366,1999.0,5.0,28.6,Agua Branca,Piancó
76,735.0,-7.5118,-37.6366,2000.0,5.0,58.4,Agua Branca,Piancó
88,735.0,-7.5118,-37.6366,2001.0,5.0,3.2,Agua Branca,Piancó
100,735.0,-7.5118,-37.6366,2002.0,5.0,20.4,Agua Branca,Piancó
112,735.0,-7.5118,-37.6366,2003.0,5.0,28.8,Agua Branca,Piancó
124,735.0,-7.5118,-37.6366,2004.0,5.0,24.4,Agua Branca,Piancó
136,735.0,-7.5118,-37.6366,2005.0,5.0,51.0,Agua Branca,Piancó
148,735.0,-7.5118,-37.6366,2006.0,5.0,105.0,Agua Branca,Piancó
160,735.0,-7.5118,-37.6366,2007.0,5.0,94.8,Agua Branca,Piancó
172,735.0,-7.5118,-37.6366,2008.0,5.0,63.4,Agua Branca,Piancó
184,735.0,-7.5118,-37.6366,2009.0,5.0,74.8,Agua Branca,Piancó
196,735.0,-7.5118,-37.6366,2010.0,5.0,13.0,Agua Branca,Piancó
208,735.0,-7.5118,-37.6366,2011.0,5.0,53.6,Agua Branca,Piancó
220,735.0,-7.5118,-37.6366,2012.0,5.0,10.0,Agua Branca,Piancó
232,735.0,-7.5118,-37.6366,2013.0,5.0,20.4,Agua Branca,Piancó
244,735.0,-7.5118,-37.6366,2014.0,5.0,33.0,Agua Branca,Piancó
256,735.0,-7.5118,-37.6366,2015.0,5.0,13.0,Agua Branca,Piancó
268,735.0,-7.5118,-37.6366,2016.0,5.0,33.4,Agua Branca,Piancó
280,735.0,-7.5118,-37.6366,2017.0,5.0,48.6,Agua Branca,Piancó
292,735.0,-7.5118,-37.6366,2018.0,5.0,15.8,Agua Branca,Piancó
304,735.0,-7.5118,-37.6366,2019.0,5.0,21.0,Agua Branca,Piancó
316,735.0,-7.5118,-37.6366,2020.0,5.0,37.4,Agua Branca,Piancó
328,735.0,-7.5118,-37.6366,2021.0,5.0,13.0,Agua Branca,Piancó
340,735.0,-7.5118,-37.6366,2022.0,5.0,50.0,Agua Branca,Piancó
352,735.0,-7.5118,-37.6366,2023.0,5.0,28.0,Agua Branca,Piancó
293,735.0,-7.5118,-37.6366,2018.0,6.0,2.4,Agua Branca,Piancó
6,735.0,-7.5118,-37.6366,1994.0,7.0,16.0,Agua Branca,Piancó
18,735.0,-7.5118,-37.6366,1995.0,7.0,17.0,Agua Branca,Piancó
30,735.0,-7.5118,-37.6366,1996.0,7.0,19.2,Agua Branca,Piancó
42,735.0,-7.5118,-37.6366,1997.0,7.0,9.8,Agua Branca,Piancó
54,735.0,-7.5118,-37.6366,1998.0,7.0,13.4,Agua Branca,Piancó
66,735.0,-7.5118,-37.6366,1999.0,7.0,15.2,Agua Branca,Piancó
78,735.0,-7.5118,-37.6366,2000.0,7.0,20.6,Agua Branca,Piancó
90,735.0,-7.5118,-37.6366,2001.0,7.0,6.2,Agua Branca,Piancó
102,735.0,-7.5118,-37.6366,2002.0,7.0,26.8,Agua Branca,Piancó
114,735.0,-7.5118,-37.6366,2003.0,7.0,17.8,Agua Branca,Piancó
126,735.0,-7.5118,-37.6366,2004.0,7.0,15.6,Agua Branca,Piancó
138,735.0,-7.5118,-37.6366,2005.0,7.0,15.0,Agua Branca,Piancó
150,735.0,-7.5118,-37.6366,2006.0,7.0,7.2,Agua Branca,Piancó
162,735.0,-7.5118,-37.6366,2007.0,7.0,9.4,Agua Branca,Piancó
174,735.0,-7.5118,-37.6366,2008.0,7.0,15.2,Agua Branca,Piancó
186,735.0,-7.5118,-37.6366,2009.0,7.0,11.0,Agua Branca,Piancó
198,735.0,-7.5118,-37.6366,2010.0,7.0,7.6,Agua Branca,Piancó
210,735.0,-7.5118,-37.6366,2011.0,7.0,18.4,Agua Branca,Piancó
222,735.0,-7.5118,-37.6366,2012.0,7.0,3.2,Agua Branca,Piancó
234,735.0,-7.5118,-37.6366,2013.0,7.0,19.0,Agua Branca,Piancó
246,735.0,-7.5118,-37.6366,2014.0,7.0,12.0,Agua Branca,Piancó
258,735.0,-7.5118,-37.6366,2015.0,7.0,19.4,Agua Branca,Piancó
270,735.0,-7.5118,-37.6366,2016.0,7.0,0.0,Agua Branca,Piancó
282,735.0,-7.5118,-37.6366,2017.0,7.0,45.0,Agua Branca,Piancó
294,735.0,-7.5118,-37.6366,2018.0,7.0,8.2,Agua Branca,Piancó
306,735.0,-7.5118,-37.6366,2019.0,7.0,23.4,Agua Branca,Piancó
318,735.0,-7.5118,-37.6366,2020.0,7.0,22.4,Agua Branca,Piancó
330,735.0,-7.5118,-37.6366,2021.0,7.0,20.0,Agua Branca,Piancó
342,735.0,-7.5118,-37.6366,2022.0,7.0,31.0,Agua Branca,Piancó
354,735.0,-7.5118,-37.6366,2023.0,7.0,40.0,Agua Branca,Piancó
7,735.0,-7.5118,-37.6366,1994.0,8.0,15.0,Agua Branca,Piancó
19,735.0,-7.5118,-37.6366,1995.0,8.0,8.0,Agua Branca,Piancó
31,735.0,-7.5118,-37.6366,1996.0,8.0,30.4,Agua Branca,Piancó
43,735.0,-7.5118,-37.6366,1997.0,8.0,30.2,Agua Branca,Piancó
55,735.0,-7.5118,-37.6366,1998.0,8.0,15.6,Agua Branca,Piancó
67,735.0,-7.5118,-37.6366,1999.0,8.0,4.6,Agua Branca,Piancó
79,735.0,-7.5118,-37.6366,2000.0,8.0,10.6,Agua Branca,Piancó
91,735.0,-7.5118,-37.6366,2001.0,8.0,13.4,Agua Branca,Piancó
103,735.0,-7.5118,-37.6366,2002.0,8.0,18.0,Agua Branca,Piancó
115,735.0,-7.5118,-37.6366,2003.0,8.0,8.2,Agua Branca,Piancó
127,735.0,-7.5118,-37.6366,2004.0,8.0,8.8,Agua Branca,Piancó
139,735.0,-7.5118,-37.6366,2005.0,8.0,23.0,Agua Branca,Piancó
151,735.0,-7.5118,-37.6366,2006.0,8.0,11.6,Agua Branca,Piancó
163,735.0,-7.5118,-37.6366,2007.0,8.0,5.6,Agua Branca,Piancó
175,735.0,-7.5118,-37.6366,2008.0,8.0,19.0,Agua Branca,Piancó
187,735.0,-7.5118,-37.6366,2009.0,8.0,13.4,Agua Branca,Piancó
199,735.0,-7.5118,-37.6366,2010.0,8.0,3.4,Agua Branca,Piancó
211,735.0,-7.5118,-37.6366,2011.0,8.0,8.4,Agua Branca,Piancó
223,735.0,-7.5118,-37.6366,2012.0,8.0,2.0,Agua Branca,Piancó
235,735.0,-7.5118,-37.6366,2013.0,8.0,2.6,Agua Branca,Piancó
247,735.0,-7.5118,-37.6366,2014.0,8.0,13.0,Agua Branca,Piancó
259,735.0,-7.5118,-37.6366,2015.0,8.0,4.6,Agua Branca,Piancó
271,735.0,-7.5118,-37.6366,2016.0,8.0,2.0,Agua Branca,Piancó
283,735.0,-7.5118,-37.6366,2017.0,8.0,2.0,Agua Branca,Piancó
295,735.0,-7.5118,-37.6366,2018.0,8.0,3.0,Agua Branca,Piancó
307,735.0,-7.5118,-37.6366,2019.0,8.0,6.0,Agua Branca,Piancó
319,735.0,-7.5118,-37.6366,2020.0,8.0,0.0,Agua Branca,Piancó
331,735.0,-7.5118,-37.6366,2021.0,8.0,3.0,Agua Branca,Piancó
343,735.0,-7.5118,-37.6366,2022.0,8.0,21.0,Agua Branca,Piancó
355,735.0,-7.5118,-37.6366,2023.0,8.0,6.0,Agua Branca,Piancó
284,735.0,-7.5118,-37.6366,2017.0,9.0,7.0,Agua Branca,Piancó
296,735.0,-7.5118,-37.6366,2018.0,9.0,0.0,Agua Branca,Piancó
332,735.0,-7.5118,-37.6366,2021.0,9.0,0.0,Agua Branca,Piancó
9,735.0,-7.5118,-37.6366,1994.0,10.0,20.0,Agua Branca,Piancó
21,735.0,-7.5118,-37.6366,1995.0,10.0,0.0,Agua Branca,Piancó
33,735.0,-7.5118,-37.6366,1996.0,10.0,0.0,Agua Branca,Piancó
45,735.0,-7.5118,-37.6366,1997.0,10.0,0.0,Agua Branca,Piancó
57,735.0,-7.5118,-37.6366,1998.0,10.0,0.0,Agua Branca,Piancó
69,735.0,-7.5118,-37.6366,1999.0,10.0,13.6,Agua Branca,Piancó
81,735.0,-7.5118,-37.6366,2000.0,10.0,0.0,Agua Branca,Piancó
93,735.0,-7.5118,-37.6366,2001.0,10.0,23.2,Agua Branca,Piancó
105,735.0,-7.5118,-37.6366,2002.0,10.0,2.2,Agua Branca,Piancó
117,735.0,-7.5118,-37.6366,2003.0,10.0,8.2,Agua Branca,Piancó
129,735.0,-7.5118,-37.6366,2004.0,10.0,0.0,Agua Branca,Piancó
141,735.0,-7.5118,-37.6366,2005.0,10.0,0.0,Agua Branca,Piancó
153,735.0,-7.5118,-37.6366,2006.0,10.0,30.0,Agua Branca,Piancó
165,735.0,-7.5118,-37.6366,2007.0,10.0,0.0,Agua Branca,Piancó
177,735.0,-7.5118,-37.6366,2008.0,10.0,0.0,Agua Branca,Piancó
189,735.0,-7.5118,-37.6366,2009.0,10.0,0.0,Agua Branca,Piancó
201,735.0,-7.5118,-37.6366,2010.0,10.0,45.4,Agua Branca,Piancó
213,735.0,-7.5118,-37.6366,2011.0,10.0,14.8,Agua Branca,Piancó
225,735.0,-7.5118,-37.6366,2012.0,10.0,0.0,Agua Branca,Piancó
237,735.0,-7.5118,-37.6366,2013.0,10.0,6.0,Agua Branca,Piancó
249,735.0,-7.5118,-37.6366,2014.0,10.0,5.0,Agua Branca,Piancó
261,735.0,-7.5118,-37.6366,2015.0,10.0,2.0,Agua Branca,Piancó
273,735.0,-7.5118,-37.6366,2016.0,10.0,0.0,Agua Branca,Piancó
285,735.0,-7.5118,-37.6366,2017.0,10.0,0.0,Agua Branca,Piancó
297,735.0,-7.5118,-37.6366,2018.0,10.0,2.8,Agua Branca,Piancó
309,735.0,-7.5118,-37.6366,2019.0,10.0,16.0,Agua Branca,Piancó
321,735.0,-7.5118,-37.6366,2020.0,10.0,0.0,Agua Branca,Piancó
333,735.0,-7.5118,-37.6366,2021.0,10.0,1.2,Agua Branca,Piancó
345,735.0,-7.5118,-37.6366,2022.0,10.0,16.0,Agua Branca,Piancó
357,735.0,-7.5118,-37.6366,2023.0,10.0,0.0,Agua Branca,Piancó
286,735.0,-7.5118,-37.6366,2017.0,11.0,0.0,Agua Branca,Piancó
298,735.0,-7.5118,-37.6366,2018.0,11.0,8.2,Agua Branca,Piancó
310,735.0,-7.5118,-37.6366,2019.0,11.0,18.0,Agua Branca,Piancó
11,735.0,-7.5118,-37.6366,1994.0,12.0,11.0,Agua Branca,Piancó
23,735.0,-7.5118,-37.6366,1995.0,12.0,4.8,Agua Branca,Piancó
35,735.0,-7.5118,-37.6366,1996.0,12.0,3.0,Agua Branca,Piancó
47,735.0,-7.5118,-37.6366,1997.0,12.0,22.0,Agua Branca,Piancó
59,735.0,-7.5118,-37.6366,1998.0,12.0,32.4,Agua Branca,Piancó
71,735.0,-7.5118,-37.6366,1999.0,12.0,45.2,Agua Branca,Piancó
83,735.0,-7.5118,-37.6366,2000.0,12.0,46.8,Agua Branca,Piancó
95,735.0,-7.5118,-37.6366,2001.0,12.0,14.2,Agua Branca,Piancó
107,735.0,-7.5118,-37.6366,2002.0,12.0,9.6,Agua Branca,Piancó
119,735.0,-7.5118,-37.6366,2003.0,12.0,0.6,Agua Branca,Piancó
131,735.0,-7.5118,-37.6366,2004.0,12.0,29.0,Agua Branca,Piancó
143,735.0,-7.5118,-37.6366,2005.0,12.0,24.0,Agua Branca,Piancó
155,735.0,-7.5118,-37.6366,2006.0,12.0,3.4,Agua Branca,Piancó
167,735.0,-7.5118,-37.6366,2007.0,12.0,0.0,Agua Branca,Piancó
179,735.0,-7.5118,-37.6366,2008.0,12.0,9.2,Agua Branca,Piancó
191,735.0,-7.5118,-37.6366,2009.0,12.0,21.0,Agua Branca,Piancó
203,735.0,-7.5118,-37.6366,2010.0,12.0,41.0,Agua Branca,Piancó
215,735.0,-7.5118,-37.6366,2011.0,12.0,0.0,Agua Branca,Piancó
227,735.0,-7.5118,-37.6366,2012.0,12.0,13.2,Agua Branca,Piancó
239,735.0,-7.5118,-37.6366,2013.0,12.0,40.2,Agua Branca,Piancó
251,735.0,-7.5118,-37.6366,2014.0,12.0,5.0,Agua Branca,Piancó
263,735.0,-7.5118,-37.6366,2015.0,12.0,11.6,Agua Branca,Piancó
275,735.0,-7.5118,-37.6366,2016.0,12.0,6.6,Agua Branca,Piancó
287,735.0,-7.5118,-37.6366,2017.0,12.0,2.6,Agua Branca,Piancó
299,735.0,-7.5118,-37.6366,2018.0,12.0,24.2,Agua Branca,Piancó
311,735.0,-7.5118,-37.6366,2019.0,12.0,1.2,Agua Branca,Piancó
323,735.0,-7.5118,-37.6366,2020.0,12.0,0.0,Agua Branca,Piancó
335,735.0,-7.5118,-37.6366,2021.0,12.0,44.0,Agua Branca,Piancó
347,735.0,-7.5118,-37.6366,2022.0,12.0,46.0,Agua Branca,Piancó
359,735.0,-7.5118,-37.6366,2023.0,12.0,11.0,Agua Branca,Piancó
362,262.0,-7.0933,-38.1733,1994.0,1.0,125.0,Aguiar,Piancó
374,262.0,-7.0933,-38.1733,1995.0,1.0,34.9,Aguiar,Piancó
386,262.0,-7.0933,-38.1733,1996.0,1.0,46.3,Aguiar,Piancó
398,262.0,-7.0933,-38.1733,1997.0,1.0,111.0,Aguiar,Piancó
410,262.0,-7.0933,-38.1733,1998.0,1.0,35.0,Aguiar,Piancó
422,262.0,-7.0933,-38.1733,1999.0,1.0,17.0,Aguiar,Piancó
434,262.0,-7.0933,-38.1733,2000.0,1.0,16.2,Aguiar,Piancó
446,262.0,-7.0933,-38.1733,2001.0,1.0,7.5,Aguiar,Piancó
458,262.0,-7.0933,-38.1733,2002.0,1.0,87.3,Aguiar,Piancó
470,262.0,-7.0933,-38.1733,2003.0,1.0,99.8,Aguiar,Piancó
482,262.0,-7.0933,-38.1733,2004.0,1.0,104.0,Aguiar,Piancó
494,262.0,-7.0933,-38.1733,2005.0,1.0,39.1,Aguiar,Piancó
506,262.0,-7.0933,-38.1733,2006.0,1.0,0.0,Aguiar,Piancó
518,262.0,-7.0933,-38.1733,2007.0,1.0,101.2,Aguiar,Piancó
530,262.0,-7.0933,-38.1733,2008.0,1.0,33.1,Aguiar,Piancó
542,262.0,-7.0933,-38.1733,2009.0,1.0,30.2,Aguiar,Piancó
554,262.0,-7.0933,-38.1733,2010.0,1.0,87.2,Aguiar,Piancó
566,262.0,-7.0933,-38.1733,2011.0,1.0,90.1,Aguiar,Piancó
578,262.0,-7.0933,-38.1733,2012.0,1.0,18.2,Aguiar,Piancó
590,262.0,-7.0933,-38.1733,2013.0,1.0,14.4,Aguiar,Piancó
602,262.0,-7.0933,-38.1733,2014.0,1.0,63.1,Aguiar,Piancó
614,262.0,-7.0933,-38.1733,2015.0,1.0,32.2,Aguiar,Piancó
626,262.0,-7.0933,-38.1733,2016.0,1.0,70.1,Aguiar,Piancó
638,262.0,-7.0933,-38.1733,2017.0,1.0,23.9,Aguiar,Piancó
650,262.0,-7.0933,-38.1733,2018.0,1.0,33.0,Aguiar,Piancó
662,262.0,-7.0933,-38.1733,2019.0,1.0,49.2,Aguiar,Piancó
674,262.0,-7.0933,-38.1733,2020.0,1.0,95.5,Aguiar,Piancó
686,262.0,-7.0933,-38.1733,2021.0,1.0,39.3,Aguiar,Piancó
698,262.0,-7.0933,-38.1733,2022.0,1.0,48.3,Aguiar,Piancó
710,262.0,-7.0933,-38.1733,2023.0,1.0,10.0,Aguiar,Piancó
722,262.0,-7.0933,-38.1733,2024.0,1.0,34.5,Aguiar,Piancó
364,262.0,-7.0933,-38.1733,1994.0,3.0,20.8,Aguiar,Piancó
376,262.0,-7.0933,-38.1733,1995.0,3.0,60.3,Aguiar,Piancó
388,262.0,-7.0933,-38.1733,1996.0,3.0,56.2,Aguiar,Piancó
400,262.0,-7.0933,-38.1733,1997.0,3.0,92.3,Aguiar,Piancó
412,262.0,-7.0933,-38.1733,1998.0,3.0,16.2,Aguiar,Piancó
424,262.0,-7.0933,-38.1733,1999.0,3.0,138.5,Aguiar,Piancó
436,262.0,-7.0933,-38.1733,2000.0,3.0,48.3,Aguiar,Piancó
448,262.0,-7.0933,-38.1733,2001.0,3.0,89.2,Aguiar,Piancó
460,262.0,-7.0933,-38.1733,2002.0,3.0,32.8,Aguiar,Piancó
472,262.0,-7.0933,-38.1733,2003.0,3.0,43.5,Aguiar,Piancó
484,262.0,-7.0933,-38.1733,2004.0,3.0,48.2,Aguiar,Piancó
496,262.0,-7.0933,-38.1733,2005.0,3.0,48.9,Aguiar,Piancó
508,262.0,-7.0933,-38.1733,2006.0,3.0,67.3,Aguiar,Piancó
520,262.0,-7.0933,-38.1733,2007.0,3.0,28.2,Aguiar,Piancó
532,262.0,-7.0933,-38.1733,2008.0,3.0,103.1,Aguiar,Piancó
544,262.0,-7.0933,-38.1733,2009.0,3.0,30.6,Aguiar,Piancó
556,262.0,-7.0933,-38.1733,2010.0,3.0,39.4,Aguiar,Piancó
568,262.0,-7.0933,-38.1733,2011.0,3.0,45.1,Aguiar,Piancó
580,262.0,-7.0933,-38.1733,2012.0,3.0,22.1,Aguiar,Piancó
592,262.0,-7.0933,-38.1733,2013.0,3.0,106.1,Aguiar,Piancó
604,262.0,-7.0933,-38.1733,2014.0,3.0,67.2,Aguiar,Piancó
616,262.0,-7.0933,-38.1733,2015.0,3.0,59.1,Aguiar,Piancó
628,262.0,-7.0933,-38.1733,2016.0,3.0,85.3,Aguiar,Piancó
640,262.0,-7.0933,-38.1733,2017.0,3.0,23.1,Aguiar,Piancó
652,262.0,-7.0933,-38.1733,2018.0,3.0,37.5,Aguiar,Piancó
664,262.0,-7.0933,-38.1733,2019.0,3.0,42.5,Aguiar,Piancó
676,262.0,-7.0933,-38.1733,2020.0,3.0,95.5,Aguiar,Piancó
688,262.0,-7.0933,-38.1733,2021.0,3.0,28.2,Aguiar,Piancó
700,262.0,-7.0933,-38.1733,2022.0,3.0,79.4,Aguiar,Piancó
712,262.0,-7.0933,-38.1733,2023.0,3.0,94.6,Aguiar,Piancó
366,262.0,-7.0933,-38.1733,1994.0,5.0,28.3,Aguiar,Piancó
378,262.0,-7.0933,-38.1733,1995.0,5.0,59.6,Aguiar,Piancó
390,262.0,-7.0933,-38.1733,1996.0,5.0,55.3,Aguiar,Piancó
402,262.0,-7.0933,-38.1733,1997.0,5.0,49.7,Aguiar,Piancó
414,262.0,-7.0933,-38.1733,1998.0,5.0,0.0,Aguiar,Piancó
426,262.0,-7.0933,-38.1733,1999.0,5.0,49.5,Aguiar,Piancó
438,262.0,-7.0933,-38.1733,2000.0,5.0,32.9,Aguiar,Piancó
450,262.0,-7.0933,-38.1733,2001.0,5.0,0.0,Aguiar,Piancó
462,262.0,-7.0933,-38.1733,2002.0,5.0,57.2,Aguiar,Piancó
474,262.0,-7.0933,-38.1733,2003.0,5.0,3.5,Aguiar,Piancó
486,262.0,-7.0933,-38.1733,2004.0,5.0,86.0,Aguiar,Piancó
498,262.0,-7.0933,-38.1733,2005.0,5.0,32.6,Aguiar,Piancó
510,262.0,-7.0933,-38.1733,2006.0,5.0,61.2,Aguiar,Piancó
522,262.0,-7.0933,-38.1733,2007.0,5.0,42.2,Aguiar,Piancó
534,262.0,-7.0933,-38.1733,2008.0,5.0,44.3,Aguiar,Piancó
546,262.0,-7.0933,-38.1733,2009.0,5.0,62.2,Aguiar,Piancó
558,262.0,-7.0933,-38.1733,2010.0,5.0,5.2,Aguiar,Piancó
570,262.0,-7.0933,-38.1733,2011.0,5.0,65.4,Aguiar,Piancó
582,262.0,-7.0933,-38.1733,2012.0,5.0,25.1,Aguiar,Piancó
594,262.0,-7.0933,-38.1733,2013.0,5.0,22.2,Aguiar,Piancó
606,262.0,-7.0933,-38.1733,2014.0,5.0,17.1,Aguiar,Piancó
618,262.0,-7.0933,-38.1733,2015.0,5.0,3.7,Aguiar,Piancó
630,262.0,-7.0933,-38.1733,2016.0,5.0,17.7,Aguiar,Piancó
642,262.0,-7.0933,-38.1733,2017.0,5.0,87.8,Aguiar,Piancó
654,262.0,-7.0933,-38.1733,2018.0,5.0,27.4,Aguiar,Piancó
666,262.0,-7.0933,-38.1733,2019.0,5.0,60.1,Aguiar,Piancó
678,262.0,-7.0933,-38.1733,2020.0,5.0,67.5,Aguiar,Piancó
690,262.0,-7.0933,-38.1733,2021.0,5.0,17.7,Aguiar,Piancó
702,262.0,-7.0933,-38.1733,2022.0,5.0,12.8,Aguiar,Piancó
714,262.0,-7.0933,-38.1733,2023.0,5.0,17.4,Aguiar,Piancó
655,262.0,-7.0933,-38.1733,2018.0,6.0,0.0,Aguiar,Piancó
667,262.0,-7.0933,-38.1733,2019.0,6.0,17.9,Aguiar,Piancó
368,262.0,-7.0933,-38.1733,1994.0,7.0,17.9,Aguiar,Piancó
380,262.0,-7.0933,-38.1733,1995.0,7.0,7.9,Aguiar,Piancó
392,262.0,-7.0933,-38.1733,1996.0,7.0,0.0,Aguiar,Piancó
404,262.0,-7.0933,-38.1733,1997.0,7.0,6.7,Aguiar,Piancó
416,262.0,-7.0933,-38.1733,1998.0,7.0,20.1,Aguiar,Piancó
428,262.0,-7.0933,-38.1733,1999.0,7.0,6.2,Aguiar,Piancó
440,262.0,-7.0933,-38.1733,2000.0,7.0,8.6,Aguiar,Piancó
452,262.0,-7.0933,-38.1733,2001.0,7.0,0.0,Aguiar,Piancó
464,262.0,-7.0933,-38.1733,2002.0,7.0,7.6,Aguiar,Piancó
476,262.0,-7.0933,-38.1733,2003.0,7.0,21.3,Aguiar,Piancó
488,262.0,-7.0933,-38.1733,2004.0,7.0,0.0,Aguiar,Piancó
500,262.0,-7.0933,-38.1733,2005.0,7.0,0.0,Aguiar,Piancó
512,262.0,-7.0933,-38.1733,2006.0,7.0,5.7,Aguiar,Piancó
524,262.0,-7.0933,-38.1733,2007.0,7.0,7.4,Aguiar,Piancó
536,262.0,-7.0933,-38.1733,2008.0,7.0,20.8,Aguiar,Piancó
548,262.0,-7.0933,-38.1733,2009.0,7.0,10.1,Aguiar,Piancó
